Date,Market,Symbol,Market Cap,PE,PEG,PBV,BVPS,Dividend Yield,12M Dividend Yield,Volume Turnover
21/10/2021,SET,BGRIM,"107,534,625,000",39.68,2.05,3.74,11.04,1.09,1.09,0.13
21/10/2021,SET,BH,"113,228,453,985",161.51,-2.17,6.58,21.64,2.25,2.25,0.13
21/10/2021,SET,BJC,"135,263,138,591",31.82,-1.17,1.18,28.55,2.31,2.22,0.16
21/10/2021,SET,BTS,"125,718,582,066",22.79,-0.8,2.08,4.6,3.25,3.25,0.19
21/10/2021,SET,CBG,"118,500,000,000",33.76,3.71,11.98,9.89,2.03,2.03,0.29
21/10/2021,SET,CENTEL,"48,262,500,000",,,2.59,13.8,,,0.12
21/10/2021,SET,CHG,"41,580,000,000",30.5,0.37,9.19,0.41,1.32,1.59,1.24
21/10/2021,SET,CK,"36,588,172,435",30.15,0.16,1.39,15.56,0.93,0.93,0.14
21/10/2021,SET,CKP,"41,866,321,054",25.21,0.02,1.76,2.93,0.68,0.68,0.13
21/10/2021,SET,COM7,"86,700,000,000",41.66,0.61,22.8,3.17,1.38,1.38,0.25
21/10/2021,SET,CPALL,"581,655,812,283",47.06,-1.2,6.2,10.45,1.39,1.39,0.11
21/10/2021,SET,CPF,"219,586,680,818",8.39,0.56,1.02,24.94,3.94,3.92,0.12
21/10/2021,SET,CPN,"262,548,000,000",27.24,-1.66,3.67,15.92,1.2,1.2,0.17
21/10/2021,SET,CRC,"214,100,500,000",117.4,-2.44,3.96,8.97,1.13,1.13,0.08
21/10/2021,SET,DELTA,"563,816,489,528",73.84,0.76,14.94,30.25,0.73,0.73,0.09
21/10/2021,SET,DOHOME,"59,827,599,543",38.66,0.25,7.27,3.51,0.03,0.03,0.24
21/10/2021,SET,DTAC,"94,120,487,250",23.13,-0.81,4.35,9.14,7.52,7.97,0.31
21/10/2021,SET,EA,"242,450,000,000",46.57,-3.41,8.28,7.85,0.46,0.46,0.14
21/10/2021,SET,EGCO,"93,710,770,000",15.19,-0.39,0.86,206.17,3.65,3.79,0.09
21/10/2021,SET,ESSO,"29,590,335,900",6.51,-0.05,1.63,5.24,,,0.33
21/10/2021,SET,GLOBAL,"98,015,595,474",35.37,1.24,5.41,3.94,0.83,0.83,0.36
21/10/2021,SET,GPSC,"217,119,161,259",26.13,0.52,2.08,37.09,1.95,1.95,0.35
21/10/2021,SET,GULF,"498,658,874,915",85.19,1.23,7.21,5.89,0.89,0.89,0.13
21/10/2021,SET,GUNKUL,"48,409,793,808",12.65,0.17,3.88,1.4,3.3,4.4,0.77
21/10/2021,SET,HANA,"63,786,649,655",30.97,2.76,2.8,28.3,1.77,1.77,1.03
21/10/2021,SET,HMPRO,"189,377,251,560",32.99,5.96,8.71,1.65,2.08,2.22,0.2
21/10/2021,SET,ICHI,"14,430,000,000",29.28,4.88,2.44,4.55,4.5,4.5,0.31
21/10/2021,SET,INTUCH,"229,271,796,111",21.23,-14.68,5.83,12.26,3.5,3.61,0.15
21/10/2021,SET,IRPC,"94,815,705,301",7.12,-0.03,1.12,4.14,1.29,3.02,0.83
21/10/2021,SET,IVL,"252,654,835,860",15.75,,1.72,26.13,1.56,1.89,0.13
21/10/2021,SET,JAS,"24,919,166,606",,,9.1,0.32,8.56,6.9,0.14
21/10/2021,SET,JMART,"42,893,910,716",39.06,0.38,8.25,5.08,1.52,1.89,0.7
21/10/2021,SET,JMT,"53,219,860,549",44.91,1.02,6.83,7.14,1.59,1.67,0.51
21/10/2021,SET,KBANK,"335,259,854,410",8.5,0.22,0.73,192.81,1.77,2.12,0.92
21/10/2021,SET,KCE,"99,239,640,864",56.65,0.76,7.78,10.8,0.95,1.19,0.84
21/10/2021,SET,KKP,"49,958,315,431",9.48,-0.82,1.04,56.63,3.81,5.08,1.06
21/10/2021,SET,KTB,"164,917,522,750",9.12,-0.37,0.48,24.55,2.33,2.33,0.17
21/10/2021,SET,KTC,"149,543,376,060",25.54,5.06,6.17,9.4,1.52,1.52,1.13
21/10/2021,SET,LH,"99,780,105,020",12.44,-1.06,2,4.17,5.99,6.59,1.42
21/10/2021,SET,MAJOR,"19,324,818,043",,,3.14,6.88,,,0.38
21/10/2021,SET,MEGA,"39,452,095,237",24.55,0.99,5.39,8.39,1.99,2.34,0.66
21/10/2021,SET,MINT,"174,167,695,079",,,3.08,10.87,,,0.16
21/10/2021,SET,MTC,"127,730,000,000",23.86,1.55,5.67,10.63,0.61,0.61,0.14
21/10/2021,SET,NRF,"11,766,529,379",107.74,1.4,4.49,1.86,0.05,0.05,0.1
21/10/2021,SET,OR,"333,000,000,000",24.48,,3.4,8.16,0.35,1.32,0.06
21/10/2021,SET,ORI,"28,207,918,210",9.29,1.62,2.33,4.93,4.26,5.3,1.38
21/10/2021,SET,OSP,"99,874,687,500",27.76,4.54,5.04,6.6,3.31,3.31,0.32
21/10/2021,SET,PLANB,"24,654,307,441",229.07,-3.11,4.64,1.37,1.22,1.22,1.14
